Saint Lucia,United States,123
United States,Russia,161
United States,Honduras,407
Spain,United States,420
United States,Grenada,62
United States,India,62
Uruguay,United States,43
Saint Barthelemy,United States,39
Anguilla,United States,41
United States,United Kingdom,1970
Austria,United States,62
Papua New Guinea,United States,3
Denmark,United States,153
United States,Aruba,342
Brazil,United States,853
United States,El Salvador,508
United States,Cape Verde,14
Poland,United States,32
United States,Papua New Guinea,1
Samoa,United States,25
United States,Saudi Arabia,70
Norway,United States,121
United States,Jamaica,712
Turks and Caicos Islands,United States,230
French Guiana,United States,5
United States,Curacao,83
United States,Sweden,119
Iceland,United States,181
United States,Chile,185
Zambia,United States,1
Cote d'Ivoire,United States,1
United States,Gibraltar,1
Sweden,United States,118
Fiji,United States,24
United States,Iceland,202
Suriname,United States,1
New Caledonia,United States,1
Guatemala,United States,397
Ecuador,United States,268
Liberia,United States,2
Saint Kitts and Nevis,United States,139
United States,Netherlands,660
Guadeloupe,United States,56
Hong Kong,United States,332
United States,French Polynesia,40
Netherlands,United States,776
United States,Angola,13
Venezuela,United States,290
Ethiopia,United States,13
United States,Luxembourg,134
United States,Panama,465
